ticker,name
ABG.JO,Absa Group
ADH.JO,ADvTECH
AEL.JO,Altron
AFE.JO,AECI
AFT.JO,Afrimat
AGL.JO,Anglo American
ANG.JO,AngloGold Ashanti
ANH.JO,AB InBev
APN.JO,Aspen Pharmacare
ARI.JO,African Rainbow Minerals
AVI.JO,AVI
BAW.JO,Barloworld
BID.JO,Bid Corporation
BVT.JO,Bidvest
CPI.JO,Capitec
DSY.JO,Discovery
EXX.JO,Exxaro
FSR.JO,FirstRand
GFI.JO,Gold Fields
GLN.JO,Glencore
GND.JO,Grindrod
HAR.JO,Harmony Gold
IMP.JO,Impala Platinum
INL.JO,Investec Ltd
INP.JO,Investec Plc
ITE.JO,Italtile
JSE.JO,JSE Limited
KIO.JO,Kumba Iron Ore
MTN.JO,MTN Group
NED.JO,Nedbank
NPN.JO,Naspers
OUT.JO,OUTsurance
PRX.JO,Prosus
REM.JO,Remgro
RNI.JO,Reinet
S32.JO,South32
SBK.JO,Standard Bank
SHP.JO,Shoprite
SLM.JO,Sanlam
SOL.JO,Sasol
SSW.JO,Sibanye Stillwater
TFG.JO,The Foschini Group
TRU.JO,Truworths
VOD.JO,Vodacom
WHL.JO,Woolworths
MRP.JO,Mr Price
PIK.JO,Pick n Pay
CLS.JO,Clicks
SPP.JO,Spar
RCL.JO,RCL Foods
TBS.JO,Tiger Brands
SAP.JO,Sappi
RDF.JO,Redefine
GRT.JO,Growthpoint
HYP.JO,Hyprop
ATT.JO,Attacq
BHG.JO,BHP Group
BTI.JO,British American Tobacco
CFR.JO,Richemont
MNP.JO,Mondi
SUI.JO,Sun International
PPC.JO,PPC
KAP.JO,KAP
OMU.JO,Old Mutual
QLT.JO,Quilter
N91.JO,Ninety One
HCI.JO,Hosken Consolidated
BAT.JO,Brait
BLU.JO,Blue Label
BEL.JO,Bell Equipment
ART.JO,Argent Industrial
ACL.JO,ArcelorMittal SA
AEG.JO,Aveng
ADR.JO,Adcorp
AFH.JO,Alexander Forbes
ARL.JO,Astral Foods
BCF.JO,Bowler Metcalf
BWN.JO,Balwin Properties
CSB.JO,Cashbuild
DTC.JO,Datatec
EOH.JO,EOH
EQU.JO,Equites
FBR.JO,Famous Brands
GND.JO,Grindrod
HMN.JO,Hammerson
LBH.JO,Liberty Holdings
MDI.JO,Master Drilling
MSM.JO,Massmart
MUR.JO,Murray & Roberts
NTC.JO,Netcare
OCT.JO,Octodec
OMN.JO,Omnia
PAN.JO,Pan African Resources
RBX.JO,Raubex
RFG.JO,RFG Foods
SAC.JO,SA Corporate
SDO.JO,Stadio
SNT.JO,Santam
SPG.JO,Super Group
TCP.JO,Transaction Capital
TGA.JO,Thungela
TKG.JO,Telkom
VKE.JO,Vukile
WBO.JO,Wilson Bayly Holmes
ZED.JO,Zeder
